"date","value","topic","variable_short","variable_long","location","unit","origin","update","public","description"
2020-03-02,323,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-03,306,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-04,321,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-05,330,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-06,337,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-07,274,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-08,311,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-09,280,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-10,219,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-11,240,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-12,259,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-13,271,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-14,226,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-15,233,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-16,177,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-17,152,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-18,118,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-19,108,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-20,123,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-21,77,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-22,79,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-23,42,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-24,34,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-25,41,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-26,45,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-27,52,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-28,23,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-29,39,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-30,34,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-31,29,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-01,38,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-02,25,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-03,34,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-04,27,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-05,31,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-06,23,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-07,22,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-08,33,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-09,22,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-10,23,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-11,19,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-12,26,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-13,25,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-14,10,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-15,23,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-16,30,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-17,33,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-18,25,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-19,23,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-20,19,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-21,25,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-22,22,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-23,30,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-24,35,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-25,22,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-04-26,26,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
