"date","value","topic","variable_short","variable_long","location","unit","origin","update","public","description"
2020-01-17,691,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-18,543,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-19,698,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-20,759,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-21,682,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-22,676,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-23,720,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-24,819,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-25,547,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-26,646,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-27,633,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-28,583,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-29,635,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-30,639,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-01-31,670,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-01,538,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-02,628,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-03,668,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-04,614,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-05,645,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-06,655,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-07,688,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-08,563,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-09,565,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-10,469,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-11,595,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-12,633,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-13,628,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-14,698,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-15,582,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-16,639,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-17,636,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-18,600,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-19,655,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-20,667,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-21,698,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-22,597,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-23,654,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-24,660,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-25,637,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-26,636,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-27,679,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-28,718,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-02-29,578,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-01,645,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-02,655,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-03,623,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-04,647,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-05,657,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-06,667,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-07,550,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-08,626,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-09,569,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-10,455,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-11,463,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-12,512,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-13,551,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-14,448,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-15,470,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-16,353,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-17,298,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-18,230,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-19,218,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-20,230,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-21,155,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-22,152,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
2020-03-23,87,"economy","fmzrh","flights_movements_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","Flight Movements Zurich Airport (= number of arrivals and departures)"
